Position,"Track Name",Artist,Streams,URL
29,"Where Are You Now","Lost Frequencies",12984890,https://open.spotify.com/track/3uUuGVFu1V7jTQL60S1r8z
30,"Way 2 Sexy (with Future & Young Thug)",Drake,12916861,https://open.spotify.com/track/0k1WUmIRnG3xU6fvvDVfRG
31,"Todo De Ti","Rauw Alejandro",12449056,https://open.spotify.com/track/5RwV8BvLfX5injfqYodke9
32,Volví,Aventura,12319249,https://open.spotify.com/track/2vmfvSoZBFAt9hhRoEByLi
33,"Peaches (feat. Daniel Caesar & Giveon)","Justin Bieber",12221046,https://open.spotify.com/track/4iJyoBOLtHqaGxP12qzhQI
34,Ghost,"Justin Bieber",11973226,https://open.spotify.com/track/6I3mqTwhRpn34SLVafSH7G
35,"Take My Breath","The Weeknd",11416437,https://open.spotify.com/track/6M3PsepEj5gyJoIi7Xvr7u
36,"Knife Talk (with 21 Savage ft. Project Pat)",Drake,11187706,https://open.spotify.com/track/2BcMwX1MPV6ZHP4tUT9uq6
37,"Better Days (NEIKED x Mae Muller x Polo G)",NEIKED,11145764,https://open.spotify.com/track/6f5ExP43esnvdKPddwKXJH
38,"Don't Be Shy",Tiësto,11037411,https://open.spotify.com/track/0bI7K9Becu2dtXK1Q3cZNB
39,Índigo,Camilo,10959583,https://open.spotify.com/track/4knc1Fp3kbuq8bH2byOvLu
40,"Sweater Weather","The Neighbourhood",10933896,https://open.spotify.com/track/2QjOHCTQ1Jl3zawyYOpxh6
41,"SG (with Ozuna, Megan Thee Stallion & LISA of BLACKPINK)","DJ Snake",10721446,https://open.spotify.com/track/6IPNp9PfaEqrzotY47TIWy
42,"OUT OUT (feat. Charli XCX & Saweetie)","Joel Corry",10539963,https://open.spotify.com/track/6Dy1jexKYriXAVG6evyUTJ
43,"drivers license","Olivia Rodrigo",10374877,https://open.spotify.com/track/5wANPM4fQCJwkGd4rN57mH
44,Nostálgico,Rvssian,10357608,https://open.spotify.com/track/2BEcap3xJtmiPaHKyfQi4e
45,"Rolling in the Deep",Adele,10310443,https://open.spotify.com/track/6IAZHEBUIGJ6NJKxxOBIEr
46,"In Da Getto","J Balvin",10291022,https://open.spotify.com/track/1q0PYXTbDsirp2l74ng6pn
47,"I Love You So","The Walters",10262474,https://open.spotify.com/track/4SqWKzw0CbA05TGszDgMlc
48,"Save Your Tears (with Ariana Grande) (Remix)","The Weeknd",10259967,https://open.spotify.com/track/37BZB0z9T8Xu7U3e65qxFy
49,"When We Were Young",Adele,10175687,https://open.spotify.com/track/6O5TrlFWTYvznd9fMC0VvU
50,"Fair Trade (with Travis Scott)",Drake,9973992,https://open.spotify.com/track/40iJIUlhi6renaREYGeIDS
51,"Someone Like You",Adele,9913123,https://open.spotify.com/track/5lkpeJwmQKgY3bX2zChjxX
52,"I WANNA BE YOUR SLAVE",Måneskin,9563071,https://open.spotify.com/track/4pt5fDVTg5GhEvEtlz9dKk
53,"Qué Más Pues?","J Balvin",9419912,https://open.spotify.com/track/6D2TCm4nf5nxAcdGJ7w3QP
54,Butter,BTS,9298514,https://open.spotify.com/track/2bgTY4UwhfBYhGT4HUYStN
55,"Watermelon Sugar","Harry Styles",9255630,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
56,Sobrio,Maluma,9136128,https://open.spotify.com/track/4HzqWEdAbzcVFDv0pvxV4w
57,Cúrame,"Rauw Alejandro",9031819,https://open.spotify.com/track/3PwRuzdphgedcWVUOVYJ7I
58,"Don't Go Yet","Camila Cabello",9026594,https://open.spotify.com/track/1058fW9H3fZA6QjYCdOBad
59,2055,"Sleepy Hallow",9017915,https://open.spotify.com/track/4XvcHTUfIlWfyJTRG0aqlo
60,"Ley Seca","Jhay Cortez",8999782,https://open.spotify.com/track/3JCaq3KDSROg3TXhdiDa9n
61,"Volando - Remix",Mora,8987748,https://open.spotify.com/track/0G2zPzWqVjR68iNPmx2TBe
62,"Get Into It (Yuh)","Doja Cat",8987303,https://open.spotify.com/track/0W6I02J9xcqK8MtSeosEXb
63,Bored,"Billie Eilish",8903542,https://open.spotify.com/track/04sN26COy28wTXYj3dMoiZ
64,LALISA,LISA,8733074,https://open.spotify.com/track/7uQZVznj0uQOGC9KhV2Mg6
65,"Love In The Dark",Adele,8700679,https://open.spotify.com/track/0DuWDLjriRPjDRoPgaCslY
66,DÁKITI,"Bad Bunny",8486902,https://open.spotify.com/track/4MzXwWMhyBbmu6hOcLVD49
67,"deja vu","Olivia Rodrigo",8476710,https://open.spotify.com/track/6HU7h9RYOaPRFeh0R3UeAr
68,"Leave The Door Open","Bruno Mars",8473436,https://open.spotify.com/track/7MAibcTli4IisCtbHKrGMh
69,"Let Somebody Go",Coldplay,8466440,https://open.spotify.com/track/4cGqn0E8JCSY9gQllQj4Mf
